session_id,participant_id,start_time,domain,declared_intention,intended_duration_minutes,duration_seconds,click_count,scroll_count,keyboard_activity_count,idle_seconds,focus_loss_count,drift_label
DS-15-20260719T090000-001,P15,2026-07-19T09:00:00+06:00,notion.so,learning_or_tutorial,30,2370,80,154,270,273,3,0
DS-15-20260719T104500-002,P15,2026-07-19T10:45:00+06:00,figma.com,specific_information,15,797,31,42,85,117,1,0
DS-15-20260719T133000-003,P15,2026-07-19T13:30:00+06:00,somewhereinblog.net,communication_or_community,30,2554,84,403,92,159,4,0
DS-15-20260719T170000-004,P15,2026-07-19T17:00:00+06:00,youtube.com,planned_entertainment_or_break,10,537,5,10,1,116,3,1
DS-15-20260719T194500-005,P15,2026-07-19T19:45:00+06:00,instagram.com,planned_entertainment_or_break,20,1710,115,487,86,245,3,1
DS-15-20260720T080000-006,P15,2026-07-20T08:00:00+06:00,notion.so,specific_information,10,368,8,23,40,33,0,0
DS-15-20260720T093000-007,P15,2026-07-20T09:30:00+06:00,somewhereinblog.net,specific_information,10,563,29,126,22,89,2,1
DS-15-20260720T131500-008,P15,2026-07-20T13:15:00+06:00,10minuteschool.com,specific_information,20,1305,28,80,9,532,2,0
DS-15-20260720T223000-009,P15,2026-07-20T22:30:00+06:00,instagram.com,open_ended_browsing,10,957,32,158,29,144,1,0
DS-15-20260721T073000-010,P15,2026-07-21T07:30:00+06:00,youtube.com,planned_entertainment_or_break,60,2757,22,44,3,756,5,0
DS-15-20260721T120000-011,P15,2026-07-21T12:00:00+06:00,facebook.com,communication_or_community,30,1389,50,220,42,143,4,0
DS-15-20260721T140000-012,P15,2026-07-21T14:00:00+06:00,drive.google.com,learning_or_tutorial,45,3293,127,187,355,476,3,0
DS-15-20260721T230000-013,P15,2026-07-21T23:00:00+06:00,youtube.com,open_ended_browsing,20,1865,12,26,5,462,4,1
DS-15-20260722T080000-014,P15,2026-07-22T08:00:00+06:00,web.whatsapp.com,communication_or_community,15,808,17,11,151,121,2,1
DS-15-20260722T083000-015,P15,2026-07-22T08:30:00+06:00,chaldal.com,accidental_open,1,95,1,2,0,7,1,0
DS-15-20260722T091500-016,P15,2026-07-22T09:15:00+06:00,facebook.com,planned_entertainment_or_break,30,2115,85,354,73,167,5,0
DS-15-20260722T141500-017,P15,2026-07-22T14:15:00+06:00,github.com,learning_or_tutorial,15,1129,41,65,163,289,1,0
DS-15-20260722T191500-018,P15,2026-07-22T19:15:00+06:00,youtube.com,planned_entertainment_or_break,20,1130,7,9,3,253,2,0
DS-15-20260723T074500-019,P15,2026-07-23T07:45:00+06:00,medium.com,learning_or_tutorial,30,840,23,89,16,90,2,0
DS-15-20260723T083000-020,P15,2026-07-23T08:30:00+06:00,10minuteschool.com,specific_information,5,220,2,8,0,36,1,0
DS-15-20260723T200000-021,P15,2026-07-23T20:00:00+06:00,wikipedia.org,learning_or_tutorial,30,2432,60,211,59,179,6,0
DS-15-20260723T213000-022,P15,2026-07-23T21:30:00+06:00,wikipedia.org,learning_or_tutorial,45,2710,103,339,75,542,6,1
DS-15-20260724T081500-023,P15,2026-07-24T08:15:00+06:00,wikipedia.org,open_ended_browsing,5,275,9,26,8,38,2,0
DS-15-20260724T160000-024,P15,2026-07-24T16:00:00+06:00,10minuteschool.com,learning_or_tutorial,10,1107,18,77,22,182,1,0
DS-15-20260725T104500-025,P15,2026-07-25T10:45:00+06:00,drive.google.com,work_or_study,10,540,22,29,80,63,2,0
DS-15-20260725T111500-026,P15,2026-07-25T11:15:00+06:00,rokomari.com,accidental_open,2,115,5,6,2,15,0,1
DS-15-20260725T134500-027,P15,2026-07-25T13:45:00+06:00,coursera.org,learning_or_tutorial,20,999,33,102,33,105,1,0
DS-15-20260725T154500-028,P15,2026-07-25T15:45:00+06:00,instagram.com,open_ended_browsing,10,1194,74,394,57,127,3,0
DS-15-20260725T170000-029,P15,2026-07-25T17:00:00+06:00,youtube.com,planned_entertainment_or_break,15,998,11,20,2,228,3,0
DS-15-20260726T100000-030,P15,2026-07-26T10:00:00+06:00,discord.com,specific_information,10,579,25,117,24,89,2,0
DS-15-20260726T200000-031,P15,2026-07-26T20:00:00+06:00,notion.so,specific_information,5,253,4,15,24,21,0,1
DS-15-20260726T220000-032,P15,2026-07-26T22:00:00+06:00,prothomalo.com,planned_entertainment_or_break,20,3075,69,334,12,272,9,1
DS-15-20260726T230015-033,P15,2026-07-26T23:00:15+06:00,instagram.com,open_ended_browsing,20,1188,32,208,43,116,2,1
DS-15-20260726T233000-034,P15,2026-07-26T23:30:00+06:00,wikipedia.org,specific_information,20,903,25,74,21,195,2,1
DS-15-20260727T094500-035,P15,2026-07-27T09:45:00+06:00,medium.com,learning_or_tutorial,45,3561,71,245,75,893,6,0
