session_id,participant_id,start_time,domain,declared_intention,intended_duration_minutes,duration_seconds,click_count,scroll_count,keyboard_activity_count,idle_seconds,focus_loss_count,drift_label
DS-07-20260719T120000-001,P07,2026-07-19T12:00:00+06:00,coursera.org,open_ended_browsing,20,1077,17,74,16,142,2,0
DS-07-20260720T093000-002,P07,2026-07-20T09:30:00+06:00,web.whatsapp.com,work_or_study,10,874,17,19,76,120,1,0
DS-07-20260721T153000-003,P07,2026-07-21T15:30:00+06:00,thedailystar.net,open_ended_browsing,10,591,21,80,5,70,0,1
DS-07-20260721T220000-004,P07,2026-07-21T22:00:00+06:00,somewhereinblog.net,open_ended_browsing,5,291,8,49,11,61,0,1
DS-07-20260725T103000-005,P07,2026-07-25T10:30:00+06:00,youtube.com,learning_or_tutorial,45,3640,19,41,5,819,9,0
DS-07-20260725T114540-006,P07,2026-07-25T11:45:40+06:00,reuters.com,work_or_study,10,682,12,74,1,100,1,0
DS-07-20260725T140000-007,P07,2026-07-25T14:00:00+06:00,x.com,communication_or_community,30,2648,66,311,83,517,4,0
DS-07-20260725T153000-008,P07,2026-07-25T15:30:00+06:00,youtube.com,planned_entertainment_or_break,20,1226,14,23,2,261,0,0
DS-07-20260725T230000-009,P07,2026-07-25T23:00:00+06:00,github.com,work_or_study,45,2361,78,140,279,449,0,0
DS-07-20260726T083000-010,P07,2026-07-26T08:30:00+06:00,daraz.com,open_ended_browsing,10,1027,60,102,4,162,1,1
DS-07-20260726T090507-011,P07,2026-07-26T09:05:07+06:00,instagram.com,planned_entertainment_or_break,60,5364,189,797,154,843,5,0
DS-07-20260726T200000-012,P07,2026-07-26T20:00:00+06:00,instagram.com,open_ended_browsing,15,410,11,85,11,75,2,0
DS-07-20260728T134500-013,P07,2026-07-28T13:45:00+06:00,slack.com,work_or_study,60,4176,185,307,584,536,4,1
DS-07-20260728T164500-014,P07,2026-07-28T16:45:00+06:00,docs.google.com,communication_or_community,10,1580,59,91,167,119,6,1
DS-07-20260728T173000-015,P07,2026-07-28T17:30:00+06:00,chatgpt.com,work_or_study,15,486,14,24,44,43,0,0
DS-07-20260728T200000-016,P07,2026-07-28T20:00:00+06:00,instagram.com,open_ended_browsing,30,2063,90,405,58,288,3,1
DS-07-20260729T093000-017,P07,2026-07-29T09:30:00+06:00,canva.com,learning_or_tutorial,15,1182,55,70,166,156,0,0
DS-07-20260729T124500-018,P07,2026-07-29T12:45:00+06:00,docs.google.com,work_or_study,45,3171,79,115,264,574,4,0
DS-07-20260729T170000-019,P07,2026-07-29T17:00:00+06:00,bdnews24.com,open_ended_browsing,5,303,4,29,2,60,0,0
DS-07-20260730T084500-020,P07,2026-07-30T08:45:00+06:00,web.whatsapp.com,communication_or_community,30,2428,56,52,345,116,1,0
DS-07-20260730T101500-021,P07,2026-07-30T10:15:00+06:00,wikipedia.org,learning_or_tutorial,10,659,11,27,5,98,2,0
DS-07-20260730T171500-022,P07,2026-07-30T17:15:00+06:00,facebook.com,specific_information,20,796,27,108,19,32,2,0
DS-07-20260730T194500-023,P07,2026-07-30T19:45:00+06:00,bohubrihi.com,specific_information,3,168,4,10,2,21,2,1
DS-07-20260731T124500-024,P07,2026-07-31T12:45:00+06:00,10minuteschool.com,learning_or_tutorial,20,1000,21,68,18,216,1,0
DS-07-20260731T151500-025,P07,2026-07-31T15:15:00+06:00,edx.org,specific_information,15,882,31,81,15,62,2,0
DS-07-20260731T161500-026,P07,2026-07-31T16:15:00+06:00,stackoverflow.com,open_ended_browsing,30,2360,51,114,202,253,5,0
DS-07-20260731T174500-027,P07,2026-07-31T17:45:00+06:00,x.com,planned_entertainment_or_break,20,626,31,115,23,68,0,0
