session_id,participant_id,start_time,domain,declared_intention,intended_duration_minutes,duration_seconds,click_count,scroll_count,keyboard_activity_count,idle_seconds,focus_loss_count,drift_label
DS-03-20260719T080000-001,P03,2026-07-19T08:00:00+06:00,x.com,communication_or_community,30,1706,48,249,49,471,4,0
DS-03-20260719T084500-002,P03,2026-07-19T08:45:00+06:00,facebook.com,communication_or_community,20,1319,53,268,56,261,0,1
DS-03-20260719T134500-003,P03,2026-07-19T13:45:00+06:00,daraz.com,specific_information,15,421,17,35,3,72,0,0
DS-03-20260719T174500-004,P03,2026-07-19T17:45:00+06:00,facebook.com,work_or_study,10,551,21,93,14,153,1,0
DS-03-20260719T224500-005,P03,2026-07-19T22:45:00+06:00,wikipedia.org,learning_or_tutorial,10,404,8,22,5,74,0,0
DS-03-20260721T123000-006,P03,2026-07-21T12:30:00+06:00,docs.google.com,work_or_study,10,619,15,30,56,106,1,0
DS-03-20260721T150000-007,P03,2026-07-21T15:00:00+06:00,daraz.com,accidental_open,5,298,10,30,2,33,1,1
DS-03-20260721T213000-008,P03,2026-07-21T21:30:00+06:00,prothomalo.com,open_ended_browsing,15,1292,21,142,4,161,3,1
DS-03-20260722T120000-009,P03,2026-07-22T12:00:00+06:00,chaldal.com,planned_entertainment_or_break,60,4311,155,287,15,995,4,0
DS-03-20260722T140000-010,P03,2026-07-22T14:00:00+06:00,coursera.org,accidental_open,1,46,0,4,2,6,0,1
DS-03-20260722T210000-011,P03,2026-07-22T21:00:00+06:00,mail.google.com,communication_or_community,30,2526,83,84,471,240,0,1
DS-03-20260725T183000-012,P03,2026-07-25T18:30:00+06:00,facebook.com,communication_or_community,5,373,5,61,15,54,0,0
DS-03-20260725T203000-013,P03,2026-07-25T20:30:00+06:00,notion.so,work_or_study,10,425,18,20,70,47,0,0
DS-03-20260725T223000-014,P03,2026-07-25T22:30:00+06:00,daraz.com,planned_entertainment_or_break,60,2331,121,208,16,651,2,0
DS-03-20260727T171500-015,P03,2026-07-27T17:15:00+06:00,edx.org,work_or_study,15,776,15,43,10,217,0,0
DS-03-20260727T190000-016,P03,2026-07-27T19:00:00+06:00,linkedin.com,learning_or_tutorial,30,1574,56,82,195,274,3,1
DS-03-20260727T204500-017,P03,2026-07-27T20:45:00+06:00,somewhereinblog.net,planned_entertainment_or_break,45,6704,292,1580,252,500,11,1
DS-03-20260727T224544-018,P03,2026-07-27T22:45:44+06:00,youtube.com,learning_or_tutorial,15,1572,17,21,2,200,3,0
DS-03-20260728T093000-019,P03,2026-07-28T09:30:00+06:00,10minuteschool.com,learning_or_tutorial,30,1210,22,80,13,144,2,0
DS-03-20260728T140000-020,P03,2026-07-28T14:00:00+06:00,x.com,work_or_study,45,3908,187,789,144,239,4,0
DS-03-20260728T213000-021,P03,2026-07-28T21:30:00+06:00,rokomari.com,specific_information,5,762,30,75,2,98,0,1
DS-03-20260729T101500-022,P03,2026-07-29T10:15:00+06:00,youtube.com,open_ended_browsing,20,1488,11,22,3,479,3,0
DS-03-20260729T144500-023,P03,2026-07-29T14:45:00+06:00,figma.com,learning_or_tutorial,30,4618,179,315,671,714,5,0
DS-03-20260729T160658-024,P03,2026-07-29T16:06:58+06:00,linkedin.com,specific_information,15,1132,42,86,129,203,2,0
DS-03-20260729T231500-025,P03,2026-07-29T23:15:00+06:00,10minuteschool.com,specific_information,10,495,9,34,6,88,0,0
DS-03-20260730T124500-026,P03,2026-07-30T12:45:00+06:00,wikipedia.org,work_or_study,60,2845,83,282,60,727,4,0
DS-03-20260730T134500-027,P03,2026-07-30T13:45:00+06:00,10minuteschool.com,learning_or_tutorial,10,1235,23,96,25,151,1,0
DS-03-20260730T171500-028,P03,2026-07-30T17:15:00+06:00,youtube.com,learning_or_tutorial,45,4753,38,61,9,694,8,0
DS-03-20260730T200000-029,P03,2026-07-30T20:00:00+06:00,github.com,work_or_study,60,2840,73,148,291,388,5,0
DS-03-20260730T211500-030,P03,2026-07-30T21:15:00+06:00,youtube.com,open_ended_browsing,30,4044,48,111,10,577,4,1
DS-03-20260731T153000-031,P03,2026-07-31T15:30:00+06:00,10minuteschool.com,work_or_study,20,1909,23,122,27,433,2,0
DS-03-20260731T214500-032,P03,2026-07-31T21:45:00+06:00,youtube.com,open_ended_browsing,30,1936,14,45,4,250,2,1
DS-03-20260731T223616-033,P03,2026-07-31T22:36:16+06:00,youtube.com,planned_entertainment_or_break,15,1513,11,19,1,302,1,0
