session_id,participant_id,start_time,domain,declared_intention,intended_duration_minutes,duration_seconds,click_count,scroll_count,keyboard_activity_count,idle_seconds,focus_loss_count,drift_label
DS-13-20260719T100000-001,P13,2026-07-19T10:00:00+06:00,youtube.com,planned_entertainment_or_break,20,1172,12,13,2,192,2,0
DS-13-20260719T130000-002,P13,2026-07-19T13:00:00+06:00,canva.com,work_or_study,15,1791,30,51,99,239,4,1
DS-13-20260719T140000-003,P13,2026-07-19T14:00:00+06:00,instagram.com,communication_or_community,10,544,10,44,10,118,2,0
DS-13-20260719T180000-004,P13,2026-07-19T18:00:00+06:00,rokomari.com,work_or_study,10,785,26,40,2,257,2,0
DS-13-20260719T223000-005,P13,2026-07-19T22:30:00+06:00,bbc.com,open_ended_browsing,10,662,9,61,0,98,2,0
DS-13-20260720T110000-006,P13,2026-07-20T11:00:00+06:00,khanacademy.org,work_or_study,20,1262,15,65,17,313,1,0
DS-13-20260720T120000-007,P13,2026-07-20T12:00:00+06:00,instagram.com,open_ended_browsing,30,1877,60,257,33,191,4,0
DS-13-20260720T220000-008,P13,2026-07-20T22:00:00+06:00,stackoverflow.com,work_or_study,60,1981,41,79,152,102,0,1
DS-13-20260721T140000-009,P13,2026-07-21T14:00:00+06:00,notion.so,work_or_study,20,2231,37,59,123,640,1,0
DS-13-20260721T160000-010,P13,2026-07-21T16:00:00+06:00,x.com,open_ended_browsing,15,1537,31,244,41,114,4,1
DS-13-20260721T171500-011,P13,2026-07-21T17:15:00+06:00,discord.com,open_ended_browsing,10,671,15,86,13,88,0,1
DS-13-20260723T114500-012,P13,2026-07-23T11:45:00+06:00,discord.com,accidental_open,3,311,6,29,7,27,0,1
DS-13-20260723T203000-013,P13,2026-07-23T20:30:00+06:00,outlook.live.com,work_or_study,10,948,23,23,73,121,1,0
DS-13-20260723T230000-014,P13,2026-07-23T23:00:00+06:00,outlook.live.com,communication_or_community,10,562,9,12,66,60,2,1
DS-13-20260724T124500-015,P13,2026-07-24T12:45:00+06:00,messenger.com,communication_or_community,20,2269,43,44,281,182,3,1
DS-13-20260724T134500-016,P13,2026-07-24T13:45:00+06:00,bdjobs.com,work_or_study,20,1129,58,56,130,80,0,0
DS-13-20260724T170000-017,P13,2026-07-24T17:00:00+06:00,youtube.com,planned_entertainment_or_break,15,1027,5,9,3,166,2,0
DS-13-20260725T171500-018,P13,2026-07-25T17:15:00+06:00,instagram.com,planned_entertainment_or_break,45,5177,127,518,87,426,5,0
DS-13-20260725T185517-019,P13,2026-07-25T18:55:17+06:00,drive.google.com,work_or_study,45,3731,114,199,368,893,6,1
DS-13-20260725T200428-020,P13,2026-07-25T20:04:28+06:00,youtube.com,learning_or_tutorial,45,2210,14,25,2,528,1,1
DS-13-20260725T230000-021,P13,2026-07-25T23:00:00+06:00,drive.google.com,work_or_study,15,989,27,24,75,74,1,0
DS-13-20260726T084500-022,P13,2026-07-26T08:45:00+06:00,youtube.com,open_ended_browsing,5,353,3,6,1,87,0,1
DS-13-20260726T123000-023,P13,2026-07-26T12:30:00+06:00,messenger.com,accidental_open,2,257,7,6,27,38,0,1
DS-13-20260727T094500-024,P13,2026-07-27T09:45:00+06:00,youtube.com,open_ended_browsing,10,635,3,9,2,135,2,0
DS-13-20260727T100035-025,P13,2026-07-27T10:00:35+06:00,bikroy.com,open_ended_browsing,5,531,6,20,0,97,2,1
DS-13-20260727T170000-026,P13,2026-07-27T17:00:00+06:00,instagram.com,communication_or_community,5,293,5,27,9,24,0,0
DS-13-20260727T181500-027,P13,2026-07-27T18:15:00+06:00,x.com,communication_or_community,5,455,19,66,22,47,1,1
DS-13-20260727T184235-028,P13,2026-07-27T18:42:35+06:00,docs.google.com,work_or_study,10,390,14,18,28,64,1,0
DS-13-20260727T224500-029,P13,2026-07-27T22:45:00+06:00,mail.google.com,work_or_study,45,2851,51,69,250,222,3,0
DS-13-20260727T234531-030,P13,2026-07-27T23:45:31+06:00,youtube.com,learning_or_tutorial,45,5487,22,23,3,1106,8,1
DS-13-20260728T080000-031,P13,2026-07-28T08:00:00+06:00,10minuteschool.com,work_or_study,60,6539,89,364,104,825,7,1
DS-13-20260728T100559-032,P13,2026-07-28T10:05:59+06:00,prothomalo.com,planned_entertainment_or_break,45,1764,20,111,5,196,3,0
DS-13-20260728T111500-033,P13,2026-07-28T11:15:00+06:00,github.com,work_or_study,60,3360,72,82,198,366,3,1
DS-13-20260728T151500-034,P13,2026-07-28T15:15:00+06:00,web.whatsapp.com,communication_or_community,5,293,6,2,12,44,0,0
DS-13-20260729T100000-035,P13,2026-07-29T10:00:00+06:00,notion.so,learning_or_tutorial,10,1009,43,63,147,112,0,1
DS-13-20260729T123000-036,P13,2026-07-29T12:30:00+06:00,stackoverflow.com,work_or_study,30,1325,29,36,103,260,1,1
DS-13-20260729T144500-037,P13,2026-07-29T14:45:00+06:00,10minuteschool.com,specific_information,10,740,5,32,4,176,2,1
DS-13-20260729T191500-038,P13,2026-07-29T19:15:00+06:00,wikipedia.org,open_ended_browsing,5,213,3,13,3,49,1,1
DS-13-20260729T233000-039,P13,2026-07-29T23:30:00+06:00,facebook.com,open_ended_browsing,20,1252,13,162,15,270,4,1
DS-13-20260730T103000-040,P13,2026-07-30T10:30:00+06:00,youtube.com,learning_or_tutorial,10,947,4,7,2,140,0,0
DS-13-20260730T154500-041,P13,2026-07-30T15:45:00+06:00,khanacademy.org,specific_information,15,749,10,28,2,174,2,1
DS-13-20260730T230000-042,P13,2026-07-30T23:00:00+06:00,somewhereinblog.net,planned_entertainment_or_break,30,1557,32,177,28,108,0,0
