session_id,participant_id,start_time,domain,declared_intention,intended_duration_minutes,duration_seconds,click_count,scroll_count,keyboard_activity_count,idle_seconds,focus_loss_count,drift_label
DS-01-20260719T190000-001,P01,2026-07-19T19:00:00+06:00,youtube.com,learning_or_tutorial,20,1188,8,9,0,215,0,0
DS-01-20260720T091500-002,P01,2026-07-20T09:15:00+06:00,bbc.com,learning_or_tutorial,20,852,14,34,1,120,4,1
DS-01-20260721T093000-003,P01,2026-07-21T09:30:00+06:00,10minuteschool.com,open_ended_browsing,30,2955,81,287,67,317,9,1
DS-01-20260721T114500-004,P01,2026-07-21T11:45:00+06:00,chatgpt.com,work_or_study,10,628,12,19,58,81,0,1
DS-01-20260723T093000-005,P01,2026-07-23T09:30:00+06:00,facebook.com,planned_entertainment_or_break,15,817,22,113,17,120,2,0
DS-01-20260723T160000-006,P01,2026-07-23T16:00:00+06:00,wikipedia.org,specific_information,15,931,15,44,14,134,1,0
DS-01-20260723T200000-007,P01,2026-07-23T20:00:00+06:00,youtube.com,learning_or_tutorial,10,1056,11,18,1,159,3,0
DS-01-20260723T220000-008,P01,2026-07-23T22:00:00+06:00,daraz.com,specific_information,20,642,20,47,4,56,3,0
DS-01-20260724T180000-009,P01,2026-07-24T18:00:00+06:00,wikipedia.org,learning_or_tutorial,30,3345,48,190,42,653,15,0
DS-01-20260725T104500-010,P01,2026-07-25T10:45:00+06:00,amazon.com,specific_information,10,862,18,48,1,229,3,0
DS-01-20260725T133000-011,P01,2026-07-25T13:30:00+06:00,facebook.com,communication_or_community,30,2059,57,247,45,553,5,1
DS-01-20260725T184500-012,P01,2026-07-25T18:45:00+06:00,prothomalo.com,work_or_study,15,3006,45,199,5,523,8,1
DS-01-20260725T194506-013,P01,2026-07-25T19:45:06+06:00,discord.com,communication_or_community,15,1594,66,183,46,309,0,0
DS-01-20260726T070000-014,P01,2026-07-26T07:00:00+06:00,wikipedia.org,specific_information,10,424,7,16,6,122,1,0
DS-01-20260726T140000-015,P01,2026-07-26T14:00:00+06:00,linkedin.com,work_or_study,10,699,12,23,47,93,2,1
DS-01-20260726T204500-016,P01,2026-07-26T20:45:00+06:00,daraz.com,specific_information,20,2132,83,170,12,340,7,0
DS-01-20260727T074500-017,P01,2026-07-27T07:45:00+06:00,rokomari.com,planned_entertainment_or_break,30,4663,111,241,13,1166,12,0
DS-01-20260727T164500-018,P01,2026-07-27T16:45:00+06:00,wikipedia.org,learning_or_tutorial,20,2530,38,149,20,232,8,1
DS-01-20260727T173810-019,P01,2026-07-27T17:38:10+06:00,outlook.live.com,accidental_open,1,64,2,1,5,8,0,1
DS-01-20260728T190000-020,P01,2026-07-28T19:00:00+06:00,dhakatribune.com,work_or_study,10,425,1,18,2,95,2,0
DS-01-20260728T231500-021,P01,2026-07-28T23:15:00+06:00,facebook.com,communication_or_community,20,826,15,71,14,130,2,1
DS-01-20260729T121500-022,P01,2026-07-29T12:15:00+06:00,docs.google.com,work_or_study,15,1418,32,62,142,330,4,1
DS-01-20260729T125138-023,P01,2026-07-29T12:51:38+06:00,chatgpt.com,work_or_study,45,4685,114,171,323,1593,15,0
DS-01-20260729T203000-024,P01,2026-07-29T20:30:00+06:00,facebook.com,accidental_open,1,56,0,8,1,5,0,1
DS-01-20260729T220000-025,P01,2026-07-29T22:00:00+06:00,pickaboo.com,specific_information,20,1837,41,87,5,190,8,0
DS-01-20260730T081500-026,P01,2026-07-30T08:15:00+06:00,10minuteschool.com,accidental_open,2,377,6,19,7,78,3,0
DS-01-20260731T094500-027,P01,2026-07-31T09:45:00+06:00,khanacademy.org,specific_information,15,919,10,48,10,184,1,0
DS-01-20260731T130000-028,P01,2026-07-31T13:00:00+06:00,drive.google.com,specific_information,20,2219,48,81,168,478,8,1
