session_id,participant_id,start_time,domain,declared_intention,intended_duration_minutes,duration_seconds,click_count,scroll_count,keyboard_activity_count,idle_seconds,focus_loss_count,drift_label
DS-06-20260719T113000-001,P06,2026-07-19T11:30:00+06:00,outlook.live.com,communication_or_community,20,717,24,19,96,91,4,1
DS-06-20260719T114500-002,P06,2026-07-19T11:45:00+06:00,bbc.com,open_ended_browsing,10,1847,32,173,3,203,5,0
DS-06-20260719T163000-003,P06,2026-07-19T16:30:00+06:00,wikipedia.org,learning_or_tutorial,30,1536,26,98,22,259,6,0
DS-06-20260720T084500-004,P06,2026-07-20T08:45:00+06:00,stackoverflow.com,specific_information,15,477,12,30,54,54,1,0
DS-06-20260720T100000-005,P06,2026-07-20T10:00:00+06:00,messenger.com,communication_or_community,15,567,16,11,106,45,3,1
DS-06-20260720T110000-006,P06,2026-07-20T11:00:00+06:00,docs.google.com,work_or_study,15,888,44,74,139,71,1,0
DS-06-20260720T230000-007,P06,2026-07-20T23:00:00+06:00,amazon.com,specific_information,15,1310,64,147,5,160,2,0
DS-06-20260721T103000-008,P06,2026-07-21T10:30:00+06:00,discord.com,planned_entertainment_or_break,20,707,34,166,22,44,0,0
DS-06-20260722T164500-009,P06,2026-07-22T16:45:00+06:00,bdnews24.com,specific_information,15,1357,12,106,3,124,4,0
DS-06-20260722T211500-010,P06,2026-07-22T21:15:00+06:00,10minuteschool.com,learning_or_tutorial,10,474,5,40,16,118,2,0
DS-06-20260722T213254-011,P06,2026-07-22T21:32:54+06:00,youtube.com,specific_information,15,1269,12,26,1,251,2,0
DS-06-20260724T144500-012,P06,2026-07-24T14:45:00+06:00,docs.google.com,accidental_open,3,236,6,4,25,44,1,1
DS-06-20260724T191500-013,P06,2026-07-24T19:15:00+06:00,youtube.com,planned_entertainment_or_break,15,888,10,14,0,244,3,0
DS-06-20260725T070000-014,P06,2026-07-25T07:00:00+06:00,youtube.com,open_ended_browsing,30,2228,17,27,4,832,4,1
DS-06-20260725T123000-015,P06,2026-07-25T12:30:00+06:00,web.whatsapp.com,communication_or_community,30,2835,65,54,391,820,4,1
DS-06-20260725T161500-016,P06,2026-07-25T16:15:00+06:00,daraz.com,specific_information,10,960,31,57,6,159,1,0
DS-06-20260726T084500-017,P06,2026-07-26T08:45:00+06:00,youtube.com,planned_entertainment_or_break,45,1941,11,26,3,316,5,0
DS-06-20260726T093121-018,P06,2026-07-26T09:31:21+06:00,docs.google.com,open_ended_browsing,20,1993,50,107,205,265,4,1
DS-06-20260726T173000-019,P06,2026-07-26T17:30:00+06:00,facebook.com,communication_or_community,15,1046,24,131,27,147,5,0
DS-06-20260728T154500-020,P06,2026-07-28T15:45:00+06:00,github.com,communication_or_community,15,1524,57,85,177,299,4,1
DS-06-20260730T111500-021,P06,2026-07-30T11:15:00+06:00,canva.com,learning_or_tutorial,20,1101,49,95,150,121,0,1
DS-06-20260730T164500-022,P06,2026-07-30T16:45:00+06:00,docs.google.com,work_or_study,15,959,34,59,137,140,1,1
DS-06-20260730T171759-023,P06,2026-07-30T17:17:59+06:00,web.whatsapp.com,specific_information,10,610,18,20,96,78,2,0
DS-06-20260730T200000-024,P06,2026-07-30T20:00:00+06:00,youtube.com,planned_entertainment_or_break,10,370,5,7,1,72,1,0
DS-06-20260730T213000-025,P06,2026-07-30T21:30:00+06:00,mail.google.com,specific_information,20,989,32,39,153,141,3,0
DS-06-20260731T153000-026,P06,2026-07-31T15:30:00+06:00,rokomari.com,work_or_study,15,1362,48,92,9,113,4,0
